ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
2264035854,Les Vestiges du jour,Kazuo Ishiguro,2002,10/18,http://images.amazon.com/images/P/2264035854.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2264035854.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2264035854.01.LZZZZZZZ.jpg
037329090X,"Heart And Home (Harlequin Historical, No. 490)",James E. Austin,1999,Harlequin,http://images.amazon.com/images/P/037329090X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037329090X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037329090X.01.LZZZZZZZ.jpg
0345380371,Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books,http://images.amazon.com/images/P/0345380371.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345380371.01.LZZZZZZZ.jpg
0618086250,The Best American Sports Writing 2001,Bud Collins,2001,Houghton Mifflin Company,http://images.amazon.com/images/P/0618086250.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618086250.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618086250.01.LZZZZZZZ.jpg
0586091513,Mary Swann,Carol Shields,1992,HarperCollins Publishers,http://images.amazon.com/images/P/0586091513.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0586091513.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0586091513.01.LZZZZZZZ.jpg
0449202720,A Walk Across America,Peter Jenkins,1982,Fawcett Books,http://images.amazon.com/images/P/0449202720.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449202720.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449202720.01.LZZZZZZZ.jpg
3453209435,Blood Work. Roman zum Film.,Michael Connelly,2002,Heyne,http://images.amazon.com/images/P/3453209435.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3453209435.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3453209435.01.LZZZZZZZ.jpg
0805018395,Quinlan's Illustrated Registry of Film Stars (A Henry Holt Reference Book),David Quinlan,1991,Henry Holt &amp; Co,http://images.amazon.com/images/P/0805018395.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805018395.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805018395.01.LZZZZZZZ.jpg
0572026900,Step by Step to Buying and Selling Your Home,David Orange,2001,Foulsham,http://images.amazon.com/images/P/0572026900.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0572026900.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0572026900.01.LZZZZZZZ.jpg
0312969805,Superhero: A Biography of Christopher Reeve,Chris Nickson,1999,St. Martin's Press,http://images.amazon.com/images/P/0312969805.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312969805.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312969805.01.LZZZZZZZ.jpg
074321076X,Sarah Ban Breathnach's Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations Of Comfort &amp; Joy,Sarah Ban Breathnach,2001,Scribner,http://images.amazon.com/images/P/074321076X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074321076X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074321076X.01.LZZZZZZZ.jpg
0440415349,Ghost of a Chance,Laura Peyton Roberts,1999,Yearling Books,http://images.amazon.com/images/P/0440415349.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440415349.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440415349.01.LZZZZZZZ.jpg
0345440137,I'm the One That I Want,MARGARET CHO,2001,Ballantine Books,http://images.amazon.com/images/P/0345440137.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345440137.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345440137.01.LZZZZZZZ.jpg
0811831671,Emily's Black Mail: Fold and Mail Stationery (Emily the Strange),DC Comics,2001,Chronicle Books,http://images.amazon.com/images/P/0811831671.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811831671.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811831671.01.LZZZZZZZ.jpg
0806972203,Scroll Saw Country Patterns,Patrick Spielman,1990,Sterling Publishing,http://images.amazon.com/images/P/0806972203.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0806972203.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0806972203.01.LZZZZZZZ.jpg
020135747X,Computer Science: An Overview (6th Edition),J. Glenn Brookshear,1999,Addison Wesley Publishing Company,http://images.amazon.com/images/P/020135747X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/020135747X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/020135747X.01.LZZZZZZZ.jpg
0690628854,Plants in winter (A Lets-read-and-find-out science book),Joanna Cole,1973,Crowell,http://images.amazon.com/images/P/0690628854.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0690628854.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0690628854.01.LZZZZZZZ.jpg
3453052803,Die Libelle,John Le Carre,0,Wilhelm Heyne Verlag,http://images.amazon.com/images/P/3453052803.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3453052803.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3453052803.01.LZZZZZZZ.jpg
0316358517,The Shooting Star (The Adventures of Tintin),Herge,1978,"Little, Brown",http://images.amazon.com/images/P/0316358517.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316358517.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316358517.01.LZZZZZZZ.jpg
0590437496,Great Little Madison,Jean Fritz,0,Scholastic Inc,http://images.amazon.com/images/P/0590437496.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590437496.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590437496.01.LZZZZZZZ.jpg
0061057983,Diaspora,Greg Egan,1999,Eos,http://images.amazon.com/images/P/0061057983.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061057983.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061057983.01.LZZZZZZZ.jpg
3442729122,Lincoln.,Gore Vidal,2002,Btb Bei Goldmann,http://images.amazon.com/images/P/3442729122.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442729122.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442729122.01.LZZZZZZZ.jpg
0140119760,The Case of Sonia Wayward (Penguin crime fiction),Michael Innes,1989,Penguin USA,http://images.amazon.com/images/P/0140119760.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140119760.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140119760.01.LZZZZZZZ.jpg
0525937692,Suspicion of Guilt,Barbara Parker,1995,Penguin USA,http://images.amazon.com/images/P/0525937692.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525937692.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525937692.01.LZZZZZZZ.jpg
0192829777,Desirable Residences and Other Stories,E.F. Benson,1992,Oxford Univ Pr,http://images.amazon.com/images/P/0192829777.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0192829777.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0192829777.01.LZZZZZZZ.jpg
0425173062,"Fort Apache (Ferro, James. Hogs, No. 3.)",James Ferro,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425173062.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425173062.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425173062.01.LZZZZZZZ.jpg
0553584375,No One to Trust,IRIS JOHANSEN,2003,Bantam,http://images.amazon.com/images/P/0553584375.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553584375.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553584375.01.LZZZZZZZ.jpg
0877739943,THE HUMAN ELEMENT,THOMAS CLEARY,1994,Shambhala,http://images.amazon.com/images/P/0877739943.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0877739943.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0877739943.01.LZZZZZZZ.jpg
0921149980,"There Are Two Errors In The The Title Of This Book: A Sourcebook of Philosophical Puzzles, Problems, and Paradoxes",Robert M. Martin,1992,Broadview Press,http://images.amazon.com/images/P/0921149980.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0921149980.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0921149980.01.LZZZZZZZ.jpg
0312014406,The Haunted: One Family's Nightmare,Robert Curran,1988,St Martins Pr,http://images.amazon.com/images/P/0312014406.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312014406.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312014406.01.LZZZZZZZ.jpg
0784709254,Baby's Own Bible Songs (Baby's Own Play-A-Song Books),Pauline Bedard,1998,Standard Pub,http://images.amazon.com/images/P/0784709254.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0784709254.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0784709254.01.LZZZZZZZ.jpg
0140093540,Vita's Other World: A Gardening Biography of V. Sackville-West,Jane Brown,1988,Penguin USA,http://images.amazon.com/images/P/0140093540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140093540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140093540.01.LZZZZZZZ.jpg
3453140982,"Das VogelmÃ?Â¤dchen und der Mann, der der Sonne folgte.",Velma Wallis,1998,Heyne,http://images.amazon.com/images/P/3453140982.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3453140982.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3453140982.01.LZZZZZZZ.jpg
0879977396,Mazes of Scorpio,Alan Burt Akers,1982,DAW Books,http://images.amazon.com/images/P/0879977396.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0879977396.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0879977396.01.LZZZZZZZ.jpg
2070363112,Les Grands Chemins,J. Giono,1973,Gallimard,http://images.amazon.com/images/P/2070363112.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070363112.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070363112.01.LZZZZZZZ.jpg
0140175458,Shadowrun (Roc S.),Carl Sargent,1993,RoC,http://images.amazon.com/images/P/0140175458.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140175458.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140175458.01.LZZZZZZZ.jpg
0684855453,Vineyard Shadows : A Martha's Vineyard Mystery,Philip R. Craig,2001,Scribner,http://images.amazon.com/images/P/0684855453.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684855453.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684855453.01.LZZZZZZZ.jpg
0373872046,Sweet Accord,Felicia Mason,2003,Steeple Hill,http://images.amazon.com/images/P/0373872046.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373872046.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373872046.01.LZZZZZZZ.jpg
037370660X,"Three For The Road (9 Months Later) (Harlequin Superromance, No 660)",Shannon Waverly,1995,Harlequin,http://images.amazon.com/images/P/037370660X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037370660X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037370660X.01.LZZZZZZZ.jpg
0671678051,"Kathy Cooks: Vegetarian, Low Cholesterol (Art of Dieting Without Dieting)",Kathy Hoshijo,1989,Simon &amp; Schuster,http://images.amazon.com/images/P/0671678051.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671678051.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671678051.01.LZZZZZZZ.jpg
2842054202,A la recherche des racines : Anthologie personnelle,Primo Levi,2000,L'Ecart,http://images.amazon.com/images/P/2842054202.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2842054202.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2842054202.01.LZZZZZZZ.jpg
1562614576,Car Smarts: An Easy-To-Use Guide to Understanding Your Car and Communicating With Your Mechanic,Mary Jackson,1998,Avalon Travel Publishing,http://images.amazon.com/images/P/1562614576.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1562614576.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1562614576.01.LZZZZZZZ.jpg
0425158497,A Cold-Blooded Business: A Kate Shugak Mystery,Dana Stabenow,1995,Berkley Publishing Group,http://images.amazon.com/images/P/0425158497.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425158497.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425158497.01.LZZZZZZZ.jpg
0671004026,"The GROSS GHOST MYSTERY FRANK AND JOE HARDY THE CLUES BROTHERS 1 (Frank and Joe Hardy - the Clues Brothers , No 1)",Franklin W. Dixon,1997,Aladdin,http://images.amazon.com/images/P/0671004026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004026.01.LZZZZZZZ.jpg
0001718126,ARE YOU MY MOTHER MINI PB (EXPORT),Seuss,1993,HarperCollins Publishers,http://images.amazon.com/images/P/0001718126.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0001718126.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0001718126.01.LZZZZZZZ.jpg
3717108166,Daemonologie. Bd. 1: Daemonen im Weltenplan. Bd. 2: Daemonen am Werk.,Egon von Petersdorff,1995,Christiana-Verlag,http://images.amazon.com/images/P/3717108166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3717108166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3717108166.01.LZZZZZZZ.jpg
0312253869,"Fatal Majesty: A Novel of Mary, Queen of Scots",Reay Tannahill,2000,St Martins Pr,http://images.amazon.com/images/P/0312253869.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312253869.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312253869.01.LZZZZZZZ.jpg
1568846967,Access 97 Programming for Windows for Dummies,Rob  Krumm,1997,For Dummies,http://images.amazon.com/images/P/1568846967.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1568846967.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1568846967.01.LZZZZZZZ.jpg
0690043422,New road!,Gail Gibbons,1983,T.Y. Crowell,http://images.amazon.com/images/P/0690043422.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0690043422.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0690043422.01.LZZZZZZZ.jpg
039330938X,Marilyn Monroe: Photographs 1945-1962 (Schirmer's Visual Library),Truman Capote,1994,W. W. Norton &amp; Company,http://images.amazon.com/images/P/039330938X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039330938X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039330938X.01.LZZZZZZZ.jpg
0006548830,Information,Martin Amis,0,Flamingo,http://images.amazon.com/images/P/0006548830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0006548830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0006548830.01.LZZZZZZZ.jpg
8475961460,El cervell perdut (L'Odissea),MercÃ© Company GonzÃ¡lez,1988,Editorial EmpÃºries,http://images.amazon.com/images/P/8475961460.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8475961460.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8475961460.01.LZZZZZZZ.jpg
0448168278,Disney's World of Riddles,Weigle,1979,Putnam Pub Group,http://images.amazon.com/images/P/0448168278.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0448168278.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0448168278.01.LZZZZZZZ.jpg
0345445945,Burnt Bread and Chutney : Growing Up Between Cultures - A Memoir of an Indian Jewish Childhood (Ballantine Reader's Circle),CARMIT DELMAN,2003,One World/Ballantine,http://images.amazon.com/images/P/0345445945.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345445945.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345445945.01.LZZZZZZZ.jpg
0374173273,How to Be Alone: Essays,Jonathan Franzen,2002,Farrar Straus Giroux,http://images.amazon.com/images/P/0374173273.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374173273.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374173273.01.LZZZZZZZ.jpg
155166562X,"Shirley, Goodness and Mercy",Debbie Macomber,1999,Harlequin Books,http://images.amazon.com/images/P/155166562X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/155166562X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/155166562X.01.LZZZZZZZ.jpg
0821732684,Stones,Pat Graversen,1991,Kensington Pub Corp (Mm),http://images.amazon.com/images/P/0821732684.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821732684.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821732684.01.LZZZZZZZ.jpg
084231346X,Where Do You Park an Ark (Bible Quest),Rick Blanchette,1994,Tyndale House Pub (J),http://images.amazon.com/images/P/084231346X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/084231346X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/084231346X.01.LZZZZZZZ.jpg
0345404742,Trying to Save Piggy Sneed,JOHN IRVING,1997,Ballantine Books,http://images.amazon.com/images/P/0345404742.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345404742.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345404742.01.LZZZZZZZ.jpg
0671461958,FLAMES OF PASSION,Sheryl Flournoy,1982,Pocket,http://images.amazon.com/images/P/0671461958.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671461958.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671461958.01.LZZZZZZZ.jpg
0446613576,Tell Me No Lies,Annie Solomon,2004,Warner Forever,http://images.amazon.com/images/P/0446613576.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446613576.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446613576.01.LZZZZZZZ.jpg
158542093X,Beauty in the Beasts: True Stories of Animals Who Choose to Do Good,Kristin Von Kreisler,2001,Jeremy P. Tarcher,http://images.amazon.com/images/P/158542093X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/158542093X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/158542093X.01.LZZZZZZZ.jpg
0563371358,The Complete First Time Gardener,Geoff Hamilton,1997,BBC Books,http://images.amazon.com/images/P/0563371358.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0563371358.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0563371358.01.LZZZZZZZ.jpg
0876901674,Sunshine days and foggy nights: [poems],James J Kavanaugh,1975,E. P. Dutton,http://images.amazon.com/images/P/0876901674.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0876901674.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0876901674.01.LZZZZZZZ.jpg
0345426479,The Eye Laser Miracle: The Complete Guide to Better Vision,Andrew I. Caster,1998,Ballantine Books,http://images.amazon.com/images/P/0345426479.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345426479.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345426479.01.LZZZZZZZ.jpg
0971195382,Blackgentlemen.com,J. D. Mason,2002,Strebor Books,http://images.amazon.com/images/P/0971195382.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971195382.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971195382.01.LZZZZZZZ.jpg
0006729835,The Callender Papers,Cynthia Voight,1989,HarperCollins Publishers,http://images.amazon.com/images/P/0006729835.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0006729835.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0006729835.01.LZZZZZZZ.jpg
0449235599,A Gentleman From Philadelphia,Rebecca Baldwin,1978,Fawcett Books,http://images.amazon.com/images/P/0449235599.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449235599.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449235599.01.LZZZZZZZ.jpg
0563551054,Ape - Man: Adventures in Human Evolution,Robin McKie,2000,BBC Consumer Publishing,http://images.amazon.com/images/P/0563551054.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0563551054.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0563551054.01.LZZZZZZZ.jpg
0786884932,The Borderland : A Novel of Texas,Edwin Shrake,2001,Hyperion,http://images.amazon.com/images/P/0786884932.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786884932.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786884932.01.LZZZZZZZ.jpg
0060262478,Amelia Bedelia (Ya Se Leer),Peggy Parish,1996,HarperCollins Publishers,http://images.amazon.com/images/P/0060262478.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060262478.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060262478.01.LZZZZZZZ.jpg
3455003273,Amerika: Roman,Sibylle Berg,1999,Hoffmann und Campe,http://images.amazon.com/images/P/3455003273.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3455003273.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3455003273.01.LZZZZZZZ.jpg
044920264X,"The Vow on the Heron (Plaidy, Jean, Plantagenet Saga.)",Jean Plaidy,1984,Fawcett Books,http://images.amazon.com/images/P/044920264X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044920264X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044920264X.01.LZZZZZZZ.jpg
0689833938,Dil In a Pickle,Kim Ostrow,2000,Simon Spotlight,http://images.amazon.com/images/P/0689833938.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689833938.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689833938.01.LZZZZZZZ.jpg
0733608361,The Tazyrik year: A novel,Alan Gould,1998,Sceptre,http://images.amazon.com/images/P/0733608361.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0733608361.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0733608361.01.LZZZZZZZ.jpg
1564588521,Backpacker's Handbook,Hugh McManners,1995,Dorling Kindersley Publishing,http://images.amazon.com/images/P/1564588521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1564588521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1564588521.01.LZZZZZZZ.jpg
0802409059,The Rise of Babylon: Sign of the End Times,Charles H. Dyer,2003,Moody Publishers,http://images.amazon.com/images/P/0802409059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802409059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802409059.01.LZZZZZZZ.jpg
0937295450,Changes for Kirsten: A Winter Story (American Girls Collection (Paper)),Janet Shaw,1988,Pleasant Company Publications,http://images.amazon.com/images/P/0937295450.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0937295450.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0937295450.01.LZZZZZZZ.jpg
0786866209,Conflict of Interest : A Novel,Nancy Taylor Rosenberg,2002,Hyperion,http://images.amazon.com/images/P/0786866209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786866209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786866209.01.LZZZZZZZ.jpg
0892072679,James Rosenquist: A Retrospective,James Rosenquist,2003,Distributed Art Publishers,http://images.amazon.com/images/P/0892072679.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0892072679.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0892072679.01.LZZZZZZZ.jpg
0416178308,As You Like It (The Arden Shakespeare),William Shakespeare,1975,Methuen,http://images.amazon.com/images/P/0416178308.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0416178308.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0416178308.01.LZZZZZZZ.jpg
091938157X,Canadian Rockies Superguide,Falcon Press,1991,Falcon Press Publishing Co.,http://images.amazon.com/images/P/091938157X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/091938157X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/091938157X.01.LZZZZZZZ.jpg
0590537431,Going Baboony! (Kratts' Creatures),Martin Kratt,1997,Scholastic Paperbacks (T),http://images.amazon.com/images/P/0590537431.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590537431.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590537431.01.LZZZZZZZ.jpg
0821753703,Wrapped in Wishes,Olga Bicos,1996,Zebra Books,http://images.amazon.com/images/P/0821753703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821753703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821753703.01.LZZZZZZZ.jpg
1570981345,The Heartbeat of Irish Music,Christy McNamara,1997,Roberts Rinehart Publishers,http://images.amazon.com/images/P/1570981345.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1570981345.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1570981345.01.LZZZZZZZ.jpg
0515118397,Stardust of Yesterday (Haunted Hearts),Lynn Kurland,1996,Berkley Pub Group (Mm),http://images.amazon.com/images/P/0515118397.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515118397.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515118397.01.LZZZZZZZ.jpg
0393029603,The Book of Embraces,Eduardo H. Galeano,1991,W W Norton &amp; Co Inc,http://images.amazon.com/images/P/0393029603.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393029603.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393029603.01.LZZZZZZZ.jpg
0192717952,Sweet Clarinet,James Riordan,1998,Oxford University Press,http://images.amazon.com/images/P/0192717952.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0192717952.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0192717952.01.LZZZZZZZ.jpg
037570261X,Life : A Natural History of the First Four Billion Years of Life on Earth,RICHARD FORTEY,1999,Vintage,http://images.amazon.com/images/P/037570261X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037570261X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037570261X.01.LZZZZZZZ.jpg
1878977156,Tales for Heart and Mind: The Guided Experiences : A Storybook for Grownups,Paul Tooby,1993,Latitude Press,http://images.amazon.com/images/P/1878977156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1878977156.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1878977156.01.LZZZZZZZ.jpg
0425120910,"Night of a Thousand Pizzas (Lunchroom, No 1)",Ann Hodgman,1990,Berkley Pub Group,http://images.amazon.com/images/P/0425120910.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425120910.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425120910.01.LZZZZZZZ.jpg
0060922001,"Writing Past Dark : Envy, Fear, Distraction and Other Dilemmas in the Writer's Life",Bonnie Friedman,1994,Perennial,http://images.amazon.com/images/P/0060922001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060922001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060922001.01.LZZZZZZZ.jpg
0553340077,Teach only love: The seven principles of attitudinal healing,Gerald G Jampolsky,1983,Bantam Books,http://images.amazon.com/images/P/0553340077.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553340077.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553340077.01.LZZZZZZZ.jpg
