original_title,overview,genres,tagline,keywords,directors,cast,poster_path,status,spoken_languages,averageRating
She Couldn't Say No,Two big city lawyers are handed an important case but then find it requires them to deal with the oddball and very shrewd characters in a small town.,Comedy,She Was A Lawyer... And So Was He... So They Took Their Heart Troubles To Court!,"small town, court, lawyer",William Clemens,"Eve Arden, Roger Pryor, Cliff Edwards, Clem Bevans, Vera Lewis, Irving Bacon, Spencer Charters, Chester Clute, Zeffie Tilbury, Ferris Taylor",/nFXIp0ydoG3RYfHlTPLuD3wICCJ.jpg,Released,English,6.4
Death of a Telemarketer,A smooth-talking telemarketer finds himself at the mercy of the man he tried to swindle.,"Comedy, Drama",Cold calling just got hot!,"salesperson, rage, telemarketer, telemarketing, death of a salesman",Khaled Ridgeway,"Lamorne Morris, Jackie Earle Haley, Haley Joel Osment, Alisha Wainwright, Woody McClain, Matt McGorry, Sujata Day, Starletta DuPois, Ian Verdun, Fernando Martinez",/shp21GCcILK1Y4O5YJ8p76ae62m.jpg,Released,English,4.8
Kika,"When American author Nicholas brings in a cosmetologist named Kika to prepare the corpse of his recently deceased son, she inadvertently revives the young man, then falls in love with him. Forces conspire against the couple, though, as Nicholas wants Kika for himself.","Comedy, Drama","A memorable, surreal and bizarre comedy in the best Almódovar style!","suicide, marriage proposal, madrid, spain, funeral, photographer, cosmetologist, fake newsflash",Pedro Almodóvar,"Verónica Forqué, Victoria Abril, Peter Coyote, Rossy de Palma, Àlex Casanovas, Santiago Lajusticia, Bibiana Fernández, Anabel Alonso, Jesús Bonilla, Karra Elejalde",/jUEBKaMqcvrz0HHF8Cei8asjRWr.jpg,Released,Spanish,6.5
Absolute Proof,"MyPillow CEO Mike Lindell's film claims that a Chinese cyberattack ""flipped"" the 2020 election.",Fantasy,Exposing Election Fraud and the Theft of America by Enemies Foreign and Domestic,"election fraud, conservative propaganda","Brannon Howse, Mike Lindell",Mike Lindell,/xUw7viLQOEFivr5aauCaW0wpLTY.jpg,Released,English,2.8
Georg,"Unforgettable melodies, unique timbre and a memorable, soul-stirring voice. A mystery for women and authority for men, his talent was revered by the highest ranks of the Soviet Union and millions of ordinary people. Georg Ots took the stage when a huge country was recovering from the horrors of war, and his voice returned them faith in a bright future. Few people know what his life was really like.","Drama, Music",The tale of the bariton's wife,biography,Peeter Simm,"Marko Matvere, Anastasiya Makeeva, Renārs Kaupers, Tõnu Kark, Elle Kull, Mirtel Pohla, Karin Touart, Rein Oja, Aleksandr Okunev, Sergei Fetisov",/vW0M0zimfk06vzLUw4YO6xa4M7F.jpg,Released,"Estonian, Finnish, Russian",6.5
Take It or Leave It,"Autobiographical account of the cult 80's British pop group 'Madness (II)' , with members of the group playing themselves, charting their rise from humble beginnings as pub band The Invaders to chart success and their first overseas tour. The film follows the ups and downs of individual members of the group, and features all of their early hits including ""The Prince"", ""One Step Beyond"", ""Baggy Trousers"" and ""Night Boat to Cairo""","Documentary, Music","Madness, Madness, they call it Madness.","ska, madness, two-tone, camden town, pop group",Dave Robinson,"Suggs, Mark Bedford, Lee Thompson, Carl Smyth, Dan Woodgate, Chris Foreman, Mike Barson, John Hasler, Simon Birdsall, Andrew Chalk",/7KXNDAOPuR8mycIb5gsVagZrzV0.jpg,Released,English,7.3
American Fetish,"When the son of an alleged killer inherits a ""blue movie"" that may be the key to solving a 50 year old murder, he finds himself drawn into a forbidden world of sexual obsession. But the closer he gets to the heart of the mystery, the more the past threatens to reach out into the present and reveal terrifying truths that lead him to the brink of madness.","Mystery, Thriller, Crime",What's YOUR fetish?,"fetish, nightclub, police corruption, pantyhose, bdsm, nylons, foot fetish",Michael Simmons,"Matt Jones, Charlie Laine, Matt Bianca, Marek Matoušek, Zachery Marsala, Breanne Benson, Jacqui Holland, Christy Patrick, Sammy Dee, Sally Sandoval",/9BJDDi7aNoMVfOrQxB8ZJ5ABqcC.jpg,Released,English,5.3
Mucha Lucha: The Return of El Malefico,"The hit TV series boldy goes bigger in an action-packed comedy/adventure starring everyone's favorite luchadoras! When the greatest evil the world has ever knows -El Malefico -surfaces from the dark recesses of Earth, it's up to Rikochet, Buena Girl & The Flea to mask-wrestle him back! Their challenge begins with a quest around the globe for the artifacts of bueno-ness & ends in Las Vegas","Adventure, Animation, Action",Mucha Lucha,"mucha, lucha","Ron Hughart, Ron Crown","Carlos Alazraqui, Kimberly Brooks, Candi Milo, Tim Curry, Benito Martinez, Penn Jillette, Hector Elizondo, Kathleen Barr, Garry Chalk, Brian Drummond",/gXiuRnmjeUqXUDEUOCLduIRaXSN.jpg,Released,"Spanish, English",5.8
High Tide at Noon,"After returning home to a rugged island near Nova Scotia, Joanna, daughter of the local bigwig, struggles to choose between three eligible bachelors -- the rebel, the steadfast friend and the poetry-quoting newcomer. As the local lobster supply dwindles due to overfishing, the island's inhabitants encounter economic difficulties.","Drama, Romance",The dramatic ebb and flow of a young girl's love...,"fishing, nova scotia, canada",Philip Leacock,"Betta St. John, William Sylvester, Michael Craig, Flora Robson, Alexander Knox, Peter Arne, Patrick McGoohan, Bernard Bresslaw, Patrick Allen, Susan Beaumont",/ww23xgu1ce4rgIega0s6adOf0ek.jpg,Released,English,5.9
The Misfits,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.","Action, Thriller",They're not bad guys. They just steal from them.,"gold, middle east, heist, prison break, amused",Renny Harlin,"Pierce Brosnan, Tim Roth, Nick Cannon, Jamie Chung, Hermione Corfield, Mike Angelo, Martin J. Corrado, Samer al Masri, Gonzalo Menendez, Ahmed El-Mawas",/dPOyYnCkRbWAEem85N3VFpQODf5.jpg,Released,English,4.5
Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.","Drama, Crime",The true story of a real fake.,"fbi, con man, biography, based on true story, attempted jailbreak, engagement party, mislaid trust, christmas, bank fraud",Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin",/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,Released,"English, French",8.1
No Way Out,"Robbers Ray Biddle and his brother are shot and taken to the local hospital. There, the two are treated by Dr. Brooks, the hospital's only black doctor. The brothers assault Brooks with racist slurs. And, when his brother ends up dying on the operating table, Ray accuses the doctor of murdering him. Blind with rage, Ray works to turn the white community of the city against Brooks, who finds an unlikely ally in the dead man's widow, Edie.","Crime, Drama, Thriller",Is it a question... or an answer?,"race riot, film noir, hospital, racism, doctor, black doctor",Joseph L. Mankiewicz,"Richard Widmark, Linda Darnell, Sidney Poitier, Stephen McNally, Mildred Joanne Smith, Harry Bellaver, Stanley Ridges, Dots Johnson, Robert Adler, Ernest Anderson",/qI87rYk8XoIGN8EtyftxKHS092n.jpg,Released,English,7.4
Used People,"At her husband's funeral, Pearl, Jewish mother of two divorced and antagonistic daughters, meets an old Italian friend of her husband, whose advice years previously had stopped the husband leaving home. For 23 years he, now a widower, has secretly loved Pearl...","Comedy, Drama, Romance","A story about love, family and other embarrassments.",woman director,Beeban Kidron,"Shirley MacLaine, Marcello Mastroianni, Bob Dishy, Jessica Tandy, Kathy Bates, Marcia Gay Harden, Sylvia Sidney, Doris Roberts, Helen Hanft, Maria Rosaria Russo",/eRMf2zYV46rM9DB5S54PGTPGi55.jpg,Released,English,6.2
The Invoking: Paranormal Dimensions,"Hundreds of disturbing paranormal events occur every year. Most of these terrifying encounters go unreported - until now. Enter the disturbing world of Invoking 3: Paranormal Dimensions where the undead come to wreak havoc upon the living. Grim Reapers, evil poltergeists, satanic forces and conjured spirits will feed off your fear and drag you into the abyss of waking nightmares.",Horror,Don't Look Behind You,anthology,"Lee Matthews, Ruben Rodriguez","John Kyle Sutton, Johnathan Brugal, Garrett Marchbank, MJ Gazali, Cesar Fernandez, Tessa Netting, Gabriel Agüero, Leandro Arvelo, Dimas González, Vicente Peña",/nj0OPG5uo46begjjOGWoNX75yVs.jpg,Released,"Russian, English, Spanish",4.1
For Love of Ivy,"A white family has had the same Black maid for many years. When she tells them she wants to go back to school and will be leaving soon, the 20ish year old son decides what she needs is a change and begins searching for a man to wine and dine her, but who won't marry her, thinking that this will distract her from her plans. The man he finds doesn't entirely cooperate.","Comedy, Drama, Romance","Sidney Poitier in the love, love, loveliest movie of the year.","gambling, romance, dinner date, black love, happy ending",Daniel Mann,"Sidney Poitier, Abbey Lincoln, Beau Bridges, Nan Martin, Lauri Peters, Carroll O'Connor, Leon Bibb, Hugh Hurd, Lon Satton, Stanley Greene",/5tjt2rkR03yDg6lSr9DtEmNfx1c.jpg,Released,English,6.2
Summer Camp Nightmare,A group of campers revolt against their strict camp director and take over the camp for themselves.,"Thriller, Drama, Horror","It started as a game. Campers against counselors. It turned into a nightmare, that became a revolution.","based on novel or book, camp, summer",Bert L. Dragin,"Chuck Connors, Charlie Stratton, Adam Carl, Tom Fridley, Melissa Reeves, Stuart Rogers, Harold Pruett, Shawn McLemore, Samantha Newark, Nancy Calabrese",/q5kzTvCy8MpBFKV2lQS3RnekcrT.jpg,Released,English,5.4
Manaos,At the beginning of this century some owners of rubber plantations in the Amazonas jungle convert a village into one big prison. But the inhabitants have other plans...,"Drama, Adventure",A treacherous escape through the Amazon inferno.,"rebellion, exploitation, colonization",Alberto Vázquez Figueroa,"Fabio Testi, Agostina Belli, Florinda Bolkan, Jorge Rivero, Andrés García, Jorge Luke, Alberto de Mendoza, Milton Rodríguez, Carlos East, Carlos Nieto",/ifihLxvzI0KiOV6ogS8VGdoBtYi.jpg,Released,Spanish,5.0
Death Goes North,"Sergeant Ken Strange, of the Canadian Mounted Police, and his dog, King, are on the trial of the murderer.","Action, Crime, Mystery, Western",A LOYAL AND BRAVE COMPANION,"german shepherd, royal canadian mounted police (mountie), dog hero",Frank McDonald,"Edgar Edwards, Sheila Bromley, James McGrath, Jameson Thomas, Walter Byron, Rin-Tin-Tin Jr., Arthur Kerr, Dorothy Bradshaw, Reginald Hincks, Vivian Combe",/1S1ibAcJz9ntG8gjeBadgoTIpaA.jpg,Released,English,6.5
The Haunting of Hell House,"A mysterious, morbid professor who has suffered a number of horrid events in his life tries to help a young troubled man, whose girl friend was killed during an illegal abortion.","Thriller, Horror",The Dead Never Forgive!,"nightmare, hallucination",Mitch Marcus,"Michael York, Andrew Bowen, Jason Cottle, Claudia Christian, Aideen O'Donnell, Brian Glanney, Ciaron Davies, Mike Finn, Daniel Rosen, Eoghan O'Brien",/hvJft6ruse7ezOIodSE0pBqInxE.jpg,Released,English,4.3
Pinjar,"In the days leading up to Partition, a Hindu woman is abducted by a Muslim man. Soon, she finds herself not only forced into marriage, but living in a new country as the borders between India and Pakistan are drawn","Drama, Romance, Music",Beyond boundries,"muslim, based on novel or book, hindu, musical, pakistan, teacher, india, partition, 1940s, brother sister relationship",Chandra Prakash Dwivedi,"Urmila Matondkar, Manoj Bajpayee, Sanjay Suri, Sandali Sinha, Isha Koppikar, Lillete Dubey, Kulbhushan Kharbanda, Farida Jalal, Priyanshu Chatterjee, Seema Biswas",/ld5kHH5HxKlgYLDlhYQpYgLymu8.jpg,Released,"Urdu, Hindi",7.9
Sapphire,Two Scotland Yard detectives investigate the murder of a young woman of mixed race who had been passing for white. As they interview a spate of suspects -- including the girl's white boyfriend and his disapproving parents -- the detectives wade through a stubbornly entrenched sludge of racism and bigotry.,"Crime, Mystery, Thriller",The sensational story of a girl who didn't belong.,"london, england, police, scotland yard, intrigue, murder investigation, racial prejudice, mixed race, police procedural, metropolitan police, passing for white, bafta winner",Basil Dearden,"Nigel Patrick, Michael Craig, Yvonne Mitchell, Paul Massie, Bernard Miles, Olga Lindo, Earl Cameron, Gordon Heath, Barbara Steele, Peter Vaughan",/bqLq01iS5O9NAh5ImwMcQSF5re2.jpg,Released,English,7.2
Across 110th Street,"In a daring robbery, some $300,000 is taken from the Italian mob. Several mafiosi are killed, as are two policemen. Lt. Pope and Capt. Mattelli are two New York City cops trying to break the case. Three small-time criminals are on the run with the money. Will the mafia catch them first, or will the police?","Action, Crime, Drama","If you steal $300,000 from the mob, It's not robbery.  It's suicide.",blaxploitation cinema,Barry Shear,"Anthony Quinn, Yaphet Kotto, Anthony Franciosa, Paul Benjamin, Richard Ward, Antonio Fargas, Gilbert Lewis, Norma Donaldson, Gloria Hendry, Marlene Warfield",/e8RoE4f8Z2vvyQKoQrOotu5MtAA.jpg,Released,"English, Italian",7.0
Daniel Boone: Frontier Trail Rider,"Daniel Boone leads a party of settlers into Kentucky to found the town of Boonesborough. Along the way, he meets and falls in love with a lovely, red-haired servant named Rebecca and must vie with the gambler, Jim Santee for her affection.",Western,"Storming Across the Western Plains - With a Dream Big Enough to Settle a New Land and Courage Great Enough to Take On Indian, Outlaw or Any Man Who Tried to Stop Him!","edited from tv series, daniel boone",George Sherman,"Fess Parker, Ed Ames, Patricia Blair, Armando Silvestre, Dal McKennon, Jacqueline Evans, Roy Jenson, Barbara De Hubp, Charles Horvath",/95U2fpqczDFVsosF5GYMZuHpfrq.jpg,Released,English,6.9
Y tu mamá también,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.","Drama, Romance",Life has its ways of teaching.,"adolescence, beach, mexico, group sex, male friendship, road trip, coming of age, human relationship, new mexican cinema, self reflection, melodrama",Alfonso Cuarón,"Diego Luna, Gael García Bernal, Maribel Verdú, Daniel Giménez Cacho, Diana Bracho, Verónica Langer, María Aura, Emilio Echevarría, Marta Aura, Silverio Palacios",/izw41PkE8y891yraO6fN1tCNmOG.jpg,Released,Spanish,7.7
동창생,"The son of a North Korean spy decides to follow in his father's footsteps to protect his little sister. After his father's botched espionage mission, North Korean Myung-hoon and his young sister Hye-in are sent to a labor prison camp. In order to save his sister's life, Myung-hoon volunteers to become a spy and infiltrates the South as a teenage defector. While attending high school in the South, he meets another girl named Hye-in, and rescues her when she comes under attack.","Drama, Action, Thriller",He'll stop nothing to save her.,"high school, assassin, secret mission, spy, secret agent, bullying, murder, motorcycle, government assassin, inter-korean relations",Hong-soo Park,"Choi Seung-hyun, Han Yeri, Yoon Je-moon, Cho Seong-ha, Kim You-jung, Lee Joo-sil, Jung Ho-bin, Kim Sun-kyung, Kim Min-jae, Park Sung-woong",/ybM400b3vesnoNzOlTlAmHeEYPq.jpg,Released,Korean,6.7
Farm Girls Gone Bad,"They say that nothing beats good old southern hospitality and these girls are here to prove just that. Take a ride with Wicked Pictures award winning director Jonathan Morgan as he puts together some of the hottest southern bells with some hunky, good old boys. Its time for a good old fashion roll in the hay!","Adventure, Comedy",They're just looking for a roll in the hay,"sex outdoors, threesome, feature porn, farm girl",Jonathan Morgan,"Phoenix Marie, Giselle Leon, Jennifer White, Tasha Reign, Briana Blair, Taylor Vixen, Samantha Saint, Rocco Reed, Mick Blue, Danny Mountain",/8qUrrUC73JwwW33kZRZ9OxzdMR6.jpg,Released,English,4.1
Poison Ivy: The Secret Society,A mysterious death of a young college student occurs late one night at a prestigious New England college...,"Drama, Thriller",The seduction continues,"high school, campus, sequel, femme fatale, mind game",Jason Hreno,"Miriam McDonald, Shawna Waldron, Ryan Kennedy, Yan-Kay Crystal Lowe, Andrea Whitburn, Greg Evigan, Catherine Hicks, Michaela Mann, Bridie Lunde, Brendan Penny",/ism16Bv1wTGIJywY4dz3hRET7qn.jpg,Released,English,4.2
Kid Cannabis,An eighteen year old high school drop out and his twenty-seven year old friend start trafficking marijuana across the border of Canada in order to make money and their lives are changed forever.,Drama,Everyone wants to be a kingpin.,"drug dealer, drug trafficking, cannabis, pot smoking, canadian border, weed, high school drop out",John Stockwell,"Jonathan Daniel Brown, Kenny Wormald, Ron Perlman, Aaron Yoo, John C. McGinley, Bryce Hodgson, Jeffrey Ballard, Giacomo Baessato, Amanda Tapping, Merritt Patterson",/AdsdkpbBJtORmSe56LIuQ6DEJJq.jpg,Released,English,6.4
The DUFF,"Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine.","Romance, Comedy","You either know one, you have one, or you are one.","high school, friendship, based on novel or book, geek, relationship, high school student, teen comedy, duringcreditsstinger, girl next door, based on young adult novel, teenager, american high school",Ari Sandel,"Mae Whitman, Robbie Amell, Bella Thorne, Skyler Samuels, Bianca A. Santos, Romany Malco, Ken Jeong, Chris Wylde, Allison Janney, Seth Meriwether",/aHzdMSKwq9ucnP2yXl5zYIfKgGl.jpg,Released,English,6.4
Halloween Kills,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.","Horror, Thriller",Evil dies tonight.,"halloween, sequel, murder, vigilante, serial killer, hospital, slasher, murderer, killer, house fire, crime spree, vigilantism, escaped killer, murder spree, vigilante justice, holiday horror",David Gordon Green,"Jamie Lee Curtis, Judy Greer, Andi Matichak, James Jude Courtney, Nick Castle, Will Patton, Thomas Mann, Dylan Arnold, Robert Longstreet, Anthony Michael Hall",/4CclCDyQXBBgz62Qtp3CoflQE5g.jpg,Released,English,5.5
Grandpa Goes To Town,"Joe and Lil Higgins invest their life savings in a frontier hotel. Upon arrival, the family discovers that the establishment is smack dab in the middle of a ghost town that hasn't seen a human face in years.",Comedy,Grandpa Sets The Gold Rush Pace... while putting new life in GHOST TOWN!,"ghost town, higgins family",Gus Meins,"James Gleason, Lucile Gleason, Russell Gleason, Harry Davenport, Lois Ranson, Maxie Rosenbloom, Tommy Ryan, Arturo Godoy, Noah Beery",/yCHAwRj55C3KhYlzWENyUWxZslT.jpg,Released,English,7.0
Carry On Cabby,"Speedee Taxis is a great success, which means its workaholic owner Charlie starts neglecting Peggy, his wife. Suddenly a fleet of rival taxis appears from nowhere and start pinching all the fares. The rivals are Glamcabs, and they have a secret weapon. All their drivers are very attractive women! Who's behind Glamcabs? It's open warfare and only one fleet can survive!",Comedy,They're here again in Carry on Taxi,"london, england, taxi driver, carry on, british farce, business rivalry",Gerald Thomas,"Sid James, Hattie Jacques, Kenneth Connor, Charles Hawtrey, Esma Cannon, Liz Fraser, Bill Owen, Milo O’Shea, Judith Furse, Ambrosine Phillpotts",/3S9fkzkl3kqgnlZUvBF1SqYKVm0.jpg,Released,English,6.4
Ape Canyon,"Cal Piker hasn’t seen his sister Samantha since their mother’s funeral, so when he interrupts her English lecture one morning with a proposal - a week out in the woods of Oregon, looking for Bigfoot in the legendary 'Ape Canyon' - she is more than a little surprised. But it’s a dangerous thing to be led around by Cal, an irresponsible, frustratingly likable kid brother, enthusiastic to the point of irrationality to find Bigfoot for himself. For Cal, this is not a matter of legend. This is not just some adventure. If Samantha doesn’t stop him, Cal will either find Bigfoot or die trying.","Drama, Comedy",A Cryptozoological Dramedy,"sibling relationship, bigfoot, cryptozoology, family conflict",Joshua Land,"Jackson Trent, Anna Fagan, Clayton Stocker Myers, Lauren Shaye, Donny Ness, Skip Schwink, Bob Olin, Emily Classen",/2p58pg4xgIzg4wp6ftw5NtSUym2.jpg,Released,English,5.2
The King of Kong: A Fistful of Quarters,"In this hilarious arcade showdown, a humble novice goes head-to-head against the reigning Donkey Kong champ in a confrontation that rocks the gaming world to its processors! For over 20 years, Billy Mitchell has owned the throne of the Donkey Kong world. No one could beat his top score until now. Newcomer Steve Wiebe claims to have beaten the unbeatable, but Mitchell isn't ready to relinquish his crown without a fight. Go behind the barrels as the two battle it out in a vicious war to earn the title of the true King of Kong.",Documentary,Don't get chumpatized,"video game, competition, games, arcade, gaming, donkey kong, competitiveness, competitive, gaming addiction",Seth Gordon,"Steve Wiebe, Billy Mitchell, Walter Day, Mark Alpiger, Greg Bond, Craig Glenday, Brian Kuh, Robert Mruczek, Todd Rogers, Steve Sanders",/wACtXGiO08EBbJhqsD2nUzPsrKe.jpg,Released,English,8.0
Haunted High,"A group of students are trapped at a school after a time capsule from the 1950's is cracked open by an earthquake. The students soon realize that ghostly spirits escaped from the time capsule, and possessed the principal and three other teachers.","Horror, Fantasy, Mystery, Science Fiction, Thriller",Showing your school spirit can be deadly.,"earthquake, time capsule, ghost",Jeffery Scott Lando,"M.C. Gainey, Danny Trejo, Jonathan Baron, Gabe Begneaud, Charisma Carpenter, Marc Donato, Sergio Figueroa, Dana Gourrier, Brett Lapeyrouse, Stephanie Fischer",/vvBldMlCmq7WDI6eoWIHSAe1JfE.jpg,Released,English,3.1
We Were Strangers,"China Valdes joins the Cuban underground after her brother is killed by the chief of the secret police, Ariete. She meets and falls in love with American expatriate Tony Fenner. Tony develops a plan to tunnel under the city's cemetery to a plot owned by a high official, assassinate him, and blow up the whole Cuban hierarchy at the ensuing state funeral. Together with a band of dedicated revolutionaries, they begin digging.","Adventure, Drama, Romance",An explosive story of violent lives...lived dangerously!,"revolutionary, havana, cuba",John Huston,"Jennifer Jones, John Garfield, Pedro Armendáriz, Gilbert Roland, Ramon Novarro, Wally Cassell, David Bond, José Pérez, Morris Ankrum, Lelia Goldoni",/6dyjFLrxNESNqD61Zu3DgBhv6IN.jpg,Released,English,6.6
여행자,"Young Jinhee is taken by her father to an orphanage near Seoul. He leaves her there never to return, and she struggles to come to grips with her fate. Jinhee desperately believes her father will come back for her and take her on a trip. The film is based on the experiences of the director, an ethnic Korean who was adopted by a French couple in the 1970s.",Drama,"The sorrow of losing the loved one, then there waits…",woman director,"Lee Jong Eon, Ounie Lecomte","Kim Sae-ron, Park Do-yeon, Ko A-sung, Sul Kyung-gu, Moon Sung-keun, Jung Ye-jin, Oh Man-seok, Shin Young-sik, Baek Hyun-joo, Koh In-bae",/8A4ER897Wgm6b4pRBjyHf5waaq9.jpg,Released,Korean,7.4
The Cameraman,A photographer takes up newsreel shooting to impress a secretary.,"Comedy, Romance, Drama",You'll laugh yourself completely out of focus!,"new york city, love at first sight, date, chinatown, street war, beautiful woman, secretary, gun battle, black and white, monkey, policeman, infatuation, silent film, physical comedy, cameraman, yankee stadium, changing room, baseball stadium, street fight, streetcar, newsreel cameraman, heroic rescue, public pool, chinese tong, newsreel office, rumble, chinese festival, monkey with gun","Edward Sedgwick, Buster Keaton","Buster Keaton, Marceline Day, Harold Goodwin, Sidney Bracey, Harry Gribbon, Ray Cooke, Vernon Dent, Harry Keaton, Louise Keaton, Bert Moorhouse",/prhMP7VVxpQTzOFIPsbnr41IDTN.jpg,Released,No Language,8.0
The Expendables 2,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.","Action, Adventure, Thriller",Back for War.,"airplane, loss of loved one, airplane crash, beard, wisecrack humor, airport lounge, asian woman",Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Chuck Norris, Bruce Willis, Arnold Schwarzenegger, Terry Crews, Jean-Claude Van Damme, Randy Couture",/4EBO8aIeP2bF1jGpwbuRS4CFMca.jpg,Released,English,6.6
976-EVIL II,"After being bestowed with demonic powers following a phone call to Hell, a psychotic teacher begins a rampage of death and destruction in a small town, forcing a teen and her boyfriend to fight him off so that they can get away.",Horror,This time Satan returns the call…,"satanism, horoscope, sequel, killer, super power",Jim Wynorski,"Debbie James, René Assa, Patrick O'Bryan, Leslie Ryan, Rod McCary, Paul Coufos, Karen Mayo-Chandler, George Buck Flower, Sigal Diamant, Joy Ballard",/hpLx4lwK1LKK7IgXq51yhEIXRY8.jpg,Released,English,4.4
Mr. Jones,"In 1933, Welsh journalist Gareth Jones travels to Ukraine, where he experiences the horrors of a famine. Everywhere he goes he meets henchmen of the Soviet secret service who are determined to prevent news about the catastrophe from getting out. Stalin’s forced collectivisation of agriculture has resulted in misery and ruin—the policy is tantamount to mass murder.","Thriller, Drama, History",The truth can't be hidden forever,"grave, based on true story, genocide, 1930s, holodomor, ukraine",Agnieszka Holland,"James Norton, Vanessa Kirby, Peter Sarsgaard, Joseph Mawle, Kenneth Cranham, Celyn Jones, Krzysztof Pieczyński, Beata Pozniak, Fenella Woolgar, Michalina Olszańska",/vpCKOsAmKLD67mwugN6hrPvdPZl.jpg,Released,"English, Russian, Ukrainian, Welsh",6.9
Hocus Pocus 2,"29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.","Fantasy, Comedy, Family",Back and more glorious than ever.,"witch, high school, sibling relationship, halloween, resurrection, sister, sequel, zombie, salem, massachusetts, aftercreditsstinger, duringcreditsstinger",Anne Fletcher,"Bette Midler, Sarah Jessica Parker, Kathy Najimy, Whitney Peak, Belissa Escobedo, Lilia Buckingham, Froy Gutierrez, Sam Richardson, Doug Jones, Tony Hale",/7ze7YNmUaX81ufctGqt0AgHxRtL.jpg,Released,English,6.0
Barbie Fairytopia: Mermaidia,"In this animated follow-up to Fairytopia, Elina enlists the help of a mermaid, Nori, to save her friend Nalu, a merman prince who has been captured by the wicked Laverna.","Animation, Family, Adventure, Fantasy",Journey under the sea in a magical adventure.,"fairy, mermaid, based on toy","William Lau, Walter P. Martishius","Kelly Sheridan, Lee Tockar, Christopher Gaze, Kathleen Barr, Chiara Zanni, Andrea Libman, Brittney Wilson, Pam Hyatt, Tabitha St. Germain, Venus Terzo",/igsqS7rpnkAT92Iqo5sYwTs1KWo.jpg,Released,English,6.4
Pray.,"Some friends enjoy an out-of-town rock concert. After some eerie events at their hotel, the friends abandon their night of rest and decide to drive thru the night back to their hometown several hours away. However, someone or something follows them home. After a seemingly uneventful school day, events unfold that find the lead character alone at the Mall later that evening. As the night closes in, the mall closes, and we find our heroine mysteriously trapped inside. However, she is not alone. It will take her resolute strength and unflinching faith (and a few shocking ""miracles"" along the way) for her to escape the night.",Thriller,Run.. Hide.. Pray.,"urban legend, christian film",Matt Mitchell,"Audrey Battah, Christopher Houldsworth",/xSCPo4iBeOsRbd5wz3AGETotuUs.jpg,Released,English,4.4
Supervixens,"Clint Ramsey has to leave his job working at Martin Bormann's gas station and flee after his wife is murdered by psycho cop Harry Sledge, who tries to pin the murder on Clint. Crossing America, Clint gets sexually harassed on all sides by various voluptuous nymphomaniacs, and it all ends in a literally explosive climax.",Comedy,Too much ... for one movie!,"impotence, dark comedy, erotic movie",Russ Meyer,"Charles Pitts, Charles Napier, Uschi Digard, Christy Hartburg, Colleen Brennan, Haji, Garth Pillsbury, John Lazar, Shari Eubank, Henry Rowland",/ymlxw3Gt2F9PuWek9Nkf4zeUeLz.jpg,Released,English,5.8
3D Print Masters,"3D Print Masters unveils the exciting world of the 3D Printing Community with it's most innovative and popular Inventors, Creators, Designers and Engineers who take viewers on a journey through the creation process and tech they use.",Documentary,Embrace Your Inner Nerd,"documentary filmmaking, reverse engineering, 3d, 3d printing",Brett Gerking,"Bart Briggs, Scott Tarcy, Jeremy Proffitt, David Frankel, Don Herbert, Naomi Wu, Otis Ricks, Ravi Velagapudi, Jamie Proffitt",/coigslnarjhqxpMxYBaFxiM6U9R.jpg,Released,English,7.7
